Degree Name,Link
Data Science Major - Bachelor of Computer and Information Sciences,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fengineering-computer-and-mathematical-sciences%2Fcourses%2Fbachelor-of-computer-and-information-sciences%2Fdata-science-major-bachelor-of-computer-and-information-sciences&auth=Cz657sAW6Fc5zi%2BRp4cb9g&profile=_default&rank=54&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Master of Philosophy,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fmaster-of-philosophy&auth=OjIGw%2BOgvUHS1%2FvicrirPA&profile=_default&rank=55&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
"Sport and Exercise Science Major - Bachelor of Sport, Exercise and…",https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fsport-and-recreation%2Fcourses%2Fbachelor-of-sport-exercise-and-health%2Fsport-and-exercise-science-major-bachelor-of-sport%2C-exercise-and-health&auth=nqFkpCgPsBhLaX%2Fy0Q9sFA&profile=_default&rank=56&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Diploma in Marketing,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fbusiness%2Fcourses%2Fpostgraduate-diploma-in-marketing&auth=HaBWLP6Lse8UEu7GA1Lw9w&profile=_default&rank=57&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Science,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-science&auth=9Bi9A%2BUzvmh9uQk0Hjecpg&profile=_default&rank=58&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Case Management Major - Bachelor of Health Science,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fbachelor-of-health-science%2Fcase-management-major&auth=Yfe2uybQwsF1CheMGcI2yg&profile=_default&rank=59&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
International Business Specialisation - Master of Business,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fbusiness%2Fcourses%2Fmaster-of-business%2Finternational-business&auth=t7aryF5oF55LMvUkzO3IjA&profile=_default&rank=60&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Diploma in Registered Nurse Prescribing,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fpostgraduate-diploma-in-registered-nurse-prescribing&auth=P17IMDR6N%2FBFPPgpZooq5A&profile=_default&rank=61&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Master of Analytics,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fengineering-computer-and-mathematical-sciences%2Fcourses%2Fmaster-of-analytics&auth=PZXzbR57N42KYVfq%2BOFxng&profile=_default&rank=62&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Study Mechatronics Engineering - Bachelor of Engineering (Honours),https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-engineering-honours%2Fmechatronics-engineering-major&auth=1%2FzYBmMzG4zf%2FUCm6140ZA&profile=_default&rank=63&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
